question,answer
what is the fees,Sitare university is committed to providing highquality computer science education to bright students from underprivileged backgrounds we offer a 100 scholarship to students who meet our criteria securing a minimum of 90 percentile in jee mains and having a family income of less than 3 lakhs per annum our goal is to empower talented students with exceptional opportunities ensuring that financial constraints do not hinder their potential
what is the cost of education,Sitare university is committed to providing highquality computer science education to bright students from underprivileged backgrounds we offer a 100 scholarship to students who meet our criteria securing a minimum of 90 percentile in jee mains and having a family income of less than 3 lakhs per annum our goal is to empower talented students with exceptional opportunities ensuring that financial constraints do not hinder their potential
what is the curriculum,the curriculum at Sitare university focuses on industry oriented cs education our students learn python math data structures and english communication in first year algorithms java systems databasesir and machine learning in second year web development systems and deep learning in third year alongside handson projects and problem solving the fourth year is to be spent in the industry our students get paid internships right from the first summer itself
how are the faculty,Sitare university has very high standards for faculty hiring all our faculty are highly qualified and have a passion for teaching we also have several globally renowned cs experts as our mentors our website contains the names and further details about all our faculty members and mentors
how many faculty are there,as of 2024 we have more than 8 full time faculty and several visiting faculty from top institutes of india and abroad for further details please visit our university website httpsSitareorguniv
how many permanent faculty are there,as of 2024 we have more than 8 full time faculty and several visiting faculty from top institutes of india and abroad for further details please visit our university website httpsSitareorguniv
name all the faculty name with there subjects,as of 2024 we have more than 8 full time faculty and several visiting faculty from top institutes of india and abroad for further details please visit our university website httpsSitareorguniv
how many visiting faculty are there,as of 2024 we have more than 8 full time faculty and several visiting faculty from top institutes of india and abroad for further details please visit our university website httpsSitareorguniv
do you have faculty from abroad,as of 2024 we have more than 8 full time faculty and several visiting faculty from top institutes of india and abroad for further details please visit our university website httpsSitareorguniv
what are the qualifications of your faculty,Sitare university has very high standards for faculty hiring all our faculty are highly qualified and have a passion for teaching we also have several globally renowned cs experts as our mentors our website contains the names and further details about all our faculty members and mentors website httpsSitareorguniv
how many students are there,as of 2024 we have 221 students at Sitare university
when did the university start,Sitare university was started in 2022
where is the university located,our permanent campus is coming up on the bhopalindore highway and should be ready for moving in sometime in 2025 till then we are operating from the campus of sri ramswaroop college of engineering and management in lucknow
when will the campus be complete,our permanent campus is coming up on the bhopalindore highway and should be ready for moving in sometime in 2025 till then we are operating from the campus of sri ramswaroop college of engineering and management in lucknow
when will you move to Indore,our permanent campus is coming up on the bhopalindore highway and should be ready for moving in sometime in 2025 till then we are operating from the campus of sri ramswaroop college of engineering and management in lucknow
when will you move to Bhopal,our permanent campus is coming up on the bhopalindore highway and should be ready for moving in sometime in 2025 till then we are operating from the campus of sri ramswaroop college of engineering and management in lucknow
when will you move to the permanent campus,our permanent campus is coming up on the bhopalindore highway and should be ready for moving in sometime in 2025 till then we are operating from the campus of sri ramswaroop college of engineering and management in lucknow
who is the founder,Sitare university was founded by dr amit singhal who was earlier senior vice president of google search
who started Sitare university,Sitare university was founded by dr amit singhal who was earlier senior vice president of google search
who is funding the university,the university is being completely funded by its founder dr amit singhal
do you have other branches apart from computer science,as of 2024 we are only teaching computer science since our mission is to provide high paying jobs to bright students from underprivileged backgrounds
do you teach data science,we have a high focus on courses related to data science machine learning and artificial intelligence
do you teach machine learning,we have a high focus on courses related to data science machine learning and artificial intelligence
do you teach artificial intelligence,we have a high focus on courses related to data science machine learning and artificial intelligence
do you have hostel facilities,we have very good hostel facilities on campus
which university will give the degree,we are in the process of getting the approvals till then the degree will be given by sri ramswaroop memorial university lucknow
are you following ugc norms,we are following all the norms of ugc and other relevant government agencies
how are your placements,our first batch is now in third year and so it will take one more year for us to provide placement information but given the large network of startups that we have placements will not be a problem for any student
do you help in getting internships,our students get internships from the first year itself through our vast network of startups
do you teach robotics,we are focussed on computer software education as of now
do you have any special classes for weak students,we have tas who take special sessions for weak sessions to ensure that they do not lag behind the rest of the class
are your classes offline or online,most of our classes are offline but a few classes may be online in case the faculty is located outside india or if the faculty is unable to travel to lucknow
how many seats are there,in 2024 the total admission count was more than 155
how many students are you planning to admit,in 2024 the total admission count was more than 155
is your teaching in english or hindi,we are an english medium university but we understand that many of our students come from hindi medium background so to help such students the teachers can decide to talk in both english and hindi
do you help in improving communication skills,we have a huge focus on improving communication skills and a large part of your first year will be spent in learning english and communication skills
do you help in improving english language skills,we have a huge focus on improving communication skills and a large part of your first year will be spent in learning english and communication skills
what is your mission,to ensure that the brightest underprivileged minds in india get an opportunity to study computer science and become the worlds best computer scientists
do you have any sports and games,we actively encourage our students to play some sports and games on a regular basis since it keeps the mind fresh and the body healthy we have very good facilities for many different sports including cricket football basketball etc we also have several student clubs for various activities like music startups etc
do you have any student clubs,we actively encourage our students to play some sports and games on a regular basis since it keeps the mind fresh and the body healthy we have very good facilities for many different sports including cricket football basketball etc we also have several student clubs for various activities like music startups etc
do you have a library,we have a very good library well equipped with both academic and nonacademic books
how is the food,our mess provides hygeinic food of very good quality
